sample,caller,vtype,metric,value
ICR142,ensemble (all callers),Indels,fn,14
ICR142,ensemble (all callers),Indels,fp,16
ICR142,ensemble (all callers),Indels,tp,253
ICR142,ensemble (all callers),SNPs,fn,0
ICR142,ensemble (all callers),SNPs,fp,10
ICR142,ensemble (all callers),SNPs,tp,123
ICR142,ensemble (2 out of 3 callers),Indels,fn,7
ICR142,ensemble (2 out of 3 callers),Indels,fp,35
ICR142,ensemble (2 out of 3 callers),Indels,tp,261
ICR142,ensemble (2 out of 3 callers),SNPs,fn,0
ICR142,ensemble (2 out of 3 callers),SNPs,fp,25
ICR142,ensemble (2 out of 3 callers),SNPs,tp,123
ICR142,freebayes,Indels,fn,12
ICR142,freebayes,Indels,fp,32
ICR142,freebayes,Indels,tp,255
ICR142,freebayes,SNPs,fn,0
ICR142,freebayes,SNPs,fp,33
ICR142,freebayes,SNPs,tp,123
ICR142,gatk-haplotype,Indels,fn,7
ICR142,gatk-haplotype,Indels,fp,48
ICR142,gatk-haplotype,Indels,tp,261
ICR142,gatk-haplotype,SNPs,fn,0
ICR142,gatk-haplotype,SNPs,fp,28
ICR142,gatk-haplotype,SNPs,tp,123
ICR142,vardict,Indels,fn,8
ICR142,vardict,Indels,fp,45
ICR142,vardict,Indels,tp,260
ICR142,vardict,SNPs,fn,0
ICR142,vardict,SNPs,fp,20
ICR142,vardict,SNPs,tp,123
