sample,caller,vtype,metric,value
ICR142,freebayes,Indels,fn,12
ICR142,freebayes,Indels,fp,32
ICR142,freebayes,Indels,tp,255
ICR142,freebayes,SNPs,fn,0
ICR142,freebayes,SNPs,fp,32
ICR142,freebayes,SNPs,tp,123
ICR142,gatk-haplotype,Indels,fn,7
ICR142,gatk-haplotype,Indels,fp,48
ICR142,gatk-haplotype,Indels,tp,261
ICR142,gatk-haplotype,SNPs,fn,0
ICR142,gatk-haplotype,SNPs,fp,28
ICR142,gatk-haplotype,SNPs,tp,123
ICR142,vardict,Indels,fn,8
ICR142,vardict,Indels,fp,45
ICR142,vardict,Indels,tp,260
ICR142,vardict,SNPs,fn,0
ICR142,vardict,SNPs,fp,20
ICR142,vardict,SNPs,tp,123
